
..................TÜRKİYE VE YAKIN ÇEVRESİNDEKİ SON DEPREMLER....................
.....BÖLGESEL DEPREM-TSUNAMİ İZLEME VE DEĞERLENDİRME MERKEZİ HIZLI ÇÖZÜMLERİ.....
......(YAPAY SARSINTI ANALİZİ YAPILMAMIŞTIR) Son 500 deprem listelenmiştir......
                                                        Büyüklük
Tarih      Saat      Enlem(N)  Boylam(E) Derinlik(km)  MD   ML   Mw    Yer                                             Çözüm Niteliği
---------- --------  --------  -------   ----------    ------------    --------------                                  --------------
2020.06.17 13:15:43  40.2190   30.8008        5.3      -.-  1.7  -.-   HIMMETOGLU-GOYNUK (BOLU)                          İlksel
2020.06.17 13:12:08  39.5878   29.3810        0.0      -.-  1.5  -.-   KOPRUCEK-TAVSANLI (KUTAHYA)                       İlksel
2020.06.17 13:09:30  40.2068   30.8000        8.6      -.-  1.8  -.-   HIMMETOGLU-GOYNUK (BOLU)                          İlksel
2020.06.17 12:55:30  40.3418   27.8747        8.0      -.-  1.2  -.-   EDINCIK-BANDIRMA (BALIKESIR)                      İlksel
2020.06.17 12:35:06  37.2263   28.3223        5.0      -.-  1.7  -.-   AKCAOVA-(MUGLA)                                   İlksel
2020.06.17 12:33:09  37.5360   35.4085        4.0      -.-  1.4  -.-   ALADAG (ADANA)                                    İlksel
2020.06.17 12:26:19  39.3377   40.6290        5.0      -.-  2.5  -.-   DINARBEY-YEDISU (BINGOL)                          İlksel
2020.06.17 12:18:25  37.2322   27.9192        0.0      -.-  1.5  -.-   CAMLIBELEN-MILAS (MUGLA)                          İlksel
2020.06.17 12:11:25  40.4775   29.2740        0.0      -.-  1.5  -.-   FINDIKLI-ORHANGAZI (BURSA)                        İlksel
2020.06.17 12:11:24  38.3952   39.2052        4.5      -.-  0.5  -.-   DORTBOLUK-SIVRICE (ELAZIG)                        İlksel
2020.06.17 12:10:05  40.7235   27.5098        8.4      -.-  1.7  -.-   GUZELKOY ACIKLARI-TEKIRDAG (MARMARA DENIZI)       İlksel
2020.06.17 12:04:22  39.1117   27.5683        5.8      -.-  1.8  -.-   DEREKOY-SOMA (MANISA)                             İlksel
2020.06.17 12:02:24  37.2030   27.9702        0.0      -.-  1.7  -.-   CAMLICA-YATAGAN (MUGLA)                           İlksel
2020.06.17 11:54:07  38.2692   38.7758        5.4      -.-  2.0  -.-   KARSIYAKA-PUTURGE (MALATYA)                       İlksel
2020.06.17 11:48:12  37.2532   28.3002        5.0      -.-  2.2  -.-   IKIZCE-(MUGLA)                                    İlksel
2020.06.17 11:47:13  37.5088   38.6100        5.0      -.-  4.3  4.2   GAZIBEY-(SANLIURFA)                               İlksel
2020.06.17 11:45:10  40.1152   24.4910       31.0      -.-  2.3  -.-   YUNANISTAN                                        İlksel
2020.06.17 11:34:31  39.0817   27.5492        2.2      -.-  1.8  -.-   EGNEZ-SOMA (MANISA)                               İlksel
2020.06.17 11:31:00  39.3445   40.5635        6.3      -.-  2.3  -.-   CATMAOLUK-ADAKLI (BINGOL)                         İlksel
2020.06.17 10:40:36  36.5228   28.9783        2.6      -.-  1.8  -.-   OLUDENIZ ACIKLARI-MUGLA (AKDENIZ)                 İlksel
2020.06.17 10:16:33  39.3452   40.6442        5.0      -.-  2.1  -.-   DINARBEY-YEDISU (BINGOL)                          İlksel
2020.06.17 10:13:47  38.4422   26.6817        3.6      -.-  1.7  -.-   IZMIR KORFEZI (EGE DENIZI)                        İlksel
2020.06.17 10:00:00  39.3147   40.4893        4.8      -.-  1.8  -.-   AYSAKLI-ADAKLI (BINGOL)                           İlksel
2020.06.17 09:55:30  37.8315   29.2023        0.0      -.-  1.7  -.-   KOCADERE-(DENIZLI)                                İlksel
2020.06.17 09:05:50  39.3628   40.6313        9.2      -.-  2.1  -.-   ELMALI-YEDISU (BINGOL)                            İlksel
2020.06.17 08:49:27  39.3427   40.6690        1.9      -.-  1.9  -.-   DINARBEY-YEDISU (BINGOL)                          İlksel
2020.06.17 08:40:55  39.4162   40.7018       16.3      -.-  2.1  -.-   SOBECAYIR-CAT (ERZURUM)                           İlksel
2020.06.17 08:08:14  36.1788   29.2692        7.5      -.-  1.5  -.-   KALKAN ACIKLARI-ANTALYA (AKDENIZ)                 İlksel
2020.06.17 07:01:32  34.3045   23.7163       30.6      -.-  2.9  -.-   GIRIT ADASI ACIKLARI (AKDENIZ)                    İlksel
2020.06.17 06:58:10  39.3420   40.7483        3.9      -.-  2.4  -.-   KAYNARPINAR-KARLIOVA (BINGOL)                     İlksel
2020.06.17 06:26:32  39.9783   33.4447        5.0      -.-  1.1  -.-   SAMANLIK-KALECIK (ANKARA)                         İlksel
2020.06.17 06:25:41  39.3690   40.6735       15.6      -.-  1.7  -.-   DINARBEY-YEDISU (BINGOL)                          İlksel
2020.06.17 06:24:34  39.3447   40.6832        5.0      -.-  2.1  -.-   DINARBEY-YEDISU (BINGOL)                          İlksel
2020.06.17 06:14:49  39.3850   40.7662       13.8      -.-  2.1  -.-   KAYNARPINAR-KARLIOVA (BINGOL)                     İlksel
2020.06.17 06:07:18  39.3830   40.7433        5.3      -.-  2.0  -.-   KAYNARPINAR-KARLIOVA (BINGOL)                     İlksel
2020.06.17 05:09:02  37.0127   28.5507       19.7      -.-  1.5  -.-   KARABOGURTLEN-ULA (MUGLA)                         İlksel
2020.06.17 05:05:52  39.3537   40.6668       10.9      -.-  1.9  -.-   DINARBEY-YEDISU (BINGOL)                          İlksel
2020.06.17 04:39:58  39.3527   40.6700        3.1      -.-  2.0  -.-   DINARBEY-YEDISU (BINGOL)                          İlksel
2020.06.17 04:27:30  39.3570   40.6655        7.3      -.-  2.2  -.-   DINARBEY-YEDISU (BINGOL)                          İlksel
2020.06.17 04:16:28  33.5217   27.9955        5.0      -.-  3.0  -.-   GIRIT ADASI ACIKLARI (AKDENIZ)                    İlksel
2020.06.17 03:51:28  39.3695   40.7057        5.3      -.-  2.1  -.-   DINARBEY-YEDISU (BINGOL)                          İlksel
2020.06.17 03:33:05  37.5197   35.9653        6.9      -.-  1.9  -.-   ESKIMANTAS-KOZAN (ADANA)                          İlksel
2020.06.17 03:11:07  38.0140   26.9508        7.3      -.-  1.6  -.-   KUSADASI KORFEZI (EGE DENIZI)                     İlksel
2020.06.17 02:54:29  39.3460   40.7138        5.0      -.-  3.3  3.4   DINARBEY-YEDISU (BINGOL)                          İlksel
2020.06.17 02:43:34  37.0850   28.7532        5.0      -.-  1.5  -.-   YAYLA-KOYCEGIZ (MUGLA)                            İlksel
2020.06.17 02:41:54  37.9280   29.1380        5.3      -.-  1.4  -.-   PAMUKKALE-(DENIZLI)                               İlksel
2020.06.17 02:06:32  39.3907   40.7467        5.1      -.-  1.4  -.-   KAYNARPINAR-KARLIOVA (BINGOL)                     İlksel
2020.06.17 02:01:43  37.2092   37.4933        9.0      -.-  1.6  -.-   GUNGURGE-SEHITKAMIL (GAZIANTEP)                   İlksel
2020.06.17 01:50:32  39.3300   40.7758        5.5      -.-  1.6  -.-   KAYNARPINAR-KARLIOVA (BINGOL)                     İlksel
2020.06.17 01:48:32  38.7365   27.8208        9.5      -.-  1.5  -.-   KUMKUYUCAK-SARUHANLI (MANISA)                     İlksel
2020.06.17 01:42:18  40.0370   42.7387        7.9      -.-  1.8  -.-   YELLIKIRAN-KAGIZMAN (KARS)                        İlksel
2020.06.17 01:41:53  38.7387   27.8453        6.2      -.-  1.6  -.-   TIYENLI-GOLMARMARA (MANISA)                       İlksel
2020.06.17 01:39:29  33.8433   28.2318        2.3      -.-  2.8  -.-   GIRIT ADASI ACIKLARI (AKDENIZ)                    İlksel
2020.06.17 00:42:38  33.9993   28.1608       98.1      -.-  3.1  3.4   AKDENIZ                                           İlksel
2020.06.17 00:22:38  39.3377   40.7088        5.0      -.-  2.7  -.-   DINARBEY-YEDISU (BINGOL)                          İlksel
2020.06.16 23:20:36  36.0112   30.9442       49.9      -.-  2.4  -.-   AKDENIZ                                           İlksel
2020.06.16 23:13:32  35.6840   32.2120       39.0      -.-  2.0  -.-   AKDENIZ                                           İlksel
2020.06.16 23:05:19  35.5122   26.7072        5.0      -.-  2.5  -.-   AKDENIZ                                           İlksel
2020.06.16 22:18:11  37.8008   29.9977        4.2      -.-  3.8  3.9   BASMAKCI-(BURDUR)                                 İlksel
2020.06.16 22:15:37  35.4002   26.7987       11.4      -.-  3.2  3.1   GIRIT ADASI (AKDENIZ)                             İlksel
2020.06.16 20:57:16  38.9855   27.9055        3.0      -.-  1.8  -.-   YENICE-AKHISAR (MANISA)                           İlksel
2020.06.16 20:16:37  36.9390   27.3162       13.1      -.-  3.0  -.-   GOKOVA KORFEZI (AKDENIZ)                          İlksel
2020.06.16 19:00:39  33.8658   25.8977        9.6      -.-  3.4  3.4   GIRIT ADASI ACIKLARI (AKDENIZ)                    İlksel
2020.06.16 16:25:27  39.0295   27.8617       10.8      -.-  2.2  -.-   MUSALAR-AKHISAR (MANISA)                          İlksel
2020.06.16 16:22:17  39.3645   40.6252        5.4      -.-  2.3  -.-   ELMALI-YEDISU (BINGOL)                            İlksel
2020.06.16 16:16:22  37.7803   37.5323        5.0      -.-  2.5  -.-   HACILAR-GOLBASI (ADIYAMAN)                        İlksel
2020.06.16 15:57:40  39.3725   40.6627        5.0      -.-  4.3  4.4   DINARBEY-YEDISU (BINGOL)                          İlksel
2020.06.16 15:16:11  38.7345   43.0797        5.0      -.-  2.5  -.-   VAN GOLU                                          İlksel
2020.06.16 15:02:09  35.5360   32.1602       15.5      -.-  2.3  -.-   AKDENIZ                                           İlksel
2020.06.16 14:46:21  39.3417   40.6582        5.0      -.-  2.3  -.-   DINARBEY-YEDISU (BINGOL)                          İlksel
2020.06.16 14:44:01  39.3647   40.7513        8.3      -.-  2.1  -.-   KAYNARPINAR-KARLIOVA (BINGOL)                     İlksel
2020.06.16 14:42:04  38.1962   30.7615        5.2      -.-  1.5  -.-   GENCALI-SENIRKENT (ISPARTA)                       İlksel
2020.06.16 14:04:26  39.3518   40.6477        4.7      -.-  2.8  -.-   DINARBEY-YEDISU (BINGOL)                          İlksel
2020.06.16 14:02:49  39.3347   40.7742        5.0      -.-  3.0  3.0   KAYNARPINAR-KARLIOVA (BINGOL)                     İlksel
2020.06.16 13:54:41  39.3323   40.6528        5.0      -.-  2.3  -.-   DINARBEY-YEDISU (BINGOL)                          İlksel
2020.06.16 13:32:22  39.3433   40.7133        2.1      -.-  2.2  -.-   DINARBEY-YEDISU (BINGOL)                          İlksel
2020.06.16 13:25:47  38.6098   39.4887       13.0      -.-  2.2  -.-   ELMAPINARI-(ELAZIG)                               İlksel
2020.06.16 13:00:14  39.3773   40.6053       14.1      -.-  2.0  -.-   ELMALI-YEDISU (BINGOL)                            İlksel
2020.06.16 12:55:40  39.3335   40.6490        1.2      -.-  2.0  -.-   DINARBEY-YEDISU (BINGOL)                          İlksel
2020.06.16 12:27:15  36.9772   28.0690        5.0      -.-  1.9  -.-   GOKOVA KORFEZI (AKDENIZ)                          İlksel
2020.06.16 12:05:20  37.3012   27.9753        0.0      -.-  1.4  -.-   KOZAGAC-YATAGAN (MUGLA)                           İlksel
2020.06.16 11:58:02  37.2178   28.2602        0.0      -.-  2.2  -.-   KAFACA-(MUGLA)                                    İlksel
2020.06.16 11:49:35  37.1128   28.2973        0.0      -.-  1.3  -.-   YENICE-(MUGLA)                                    İlksel
2020.06.16 11:49:34  37.1328   28.1828        5.0      -.-  1.3  -.-   BAGYAKA-(MUGLA)                                   İlksel
2020.06.16 11:06:07  39.3678   40.6407       24.4      -.-  2.1  -.-   ELMALI-YEDISU (BINGOL)                            İlksel
2020.06.16 10:53:17  37.4822   36.0050        1.8      -.-  2.5  -.-   HOYUK-SUMBAS (OSMANIYE)                           İlksel
2020.06.16 10:44:24  39.3270   40.6877        1.5      -.-  2.4  -.-   DINARBEY-YEDISU (BINGOL)                          İlksel
2020.06.16 10:41:20  40.4067   27.1845       11.8      -.-  1.8  -.-   ORTULUCE-BIGA (CANAKKALE)                         İlksel
2020.06.16 10:28:22  39.3868   40.6867       16.3      -.-  2.2  -.-   DINARBEY-YEDISU (BINGOL)                          İlksel
2020.06.16 10:24:23  36.1097   31.3125       26.0      -.-  2.1  -.-   AKDENIZ                                           İlksel
2020.06.16 10:06:15  36.5867   36.4375        7.8      -.-  2.0  -.-   KARAMANKASI-KIRIKHAN (HATAY)                      İlksel
2020.06.16 10:02:07  36.4633   28.7193        2.5      -.-  3.0  2.9   AKDENIZ                                           İlksel
2020.06.16 09:57:34  39.3650   40.6907        2.5      -.-  2.4  -.-   DINARBEY-YEDISU (BINGOL)                          İlksel
2020.06.16 09:46:22  38.4597   39.2072        2.4      -.-  1.9  -.-   DEDEYOLU-SIVRICE (ELAZIG)                         İlksel
2020.06.16 09:37:57  40.6108   30.3407        0.0      -.-  1.6  -.-   SEREFIYE-GEYVE (SAKARYA)                          İlksel
2020.06.16 09:12:34  38.4333   39.3370       13.8      -.-  1.1  -.-   SIVRICE (ELAZIG)                                  İlksel
2020.06.16 09:00:53  39.3545   40.7288       11.0      -.-  1.7  -.-   KAYNARPINAR-KARLIOVA (BINGOL)                     İlksel
2020.06.16 08:58:10  38.7930   38.0387        7.5      -.-  1.9  -.-   YAGCA-HEKIMHAN (MALATYA)                          İlksel
2020.06.16 08:43:44  39.3583   40.6938        7.7      -.-  2.1  -.-   DINARBEY-YEDISU (BINGOL)                          İlksel
2020.06.16 08:36:35  39.3257   40.6395        7.6      -.-  1.9  -.-   AKTAS-ADAKLI (BINGOL)                             İlksel
2020.06.16 07:37:40  39.3552   40.6923        4.9      -.-  2.4  -.-   DINARBEY-YEDISU (BINGOL)                          İlksel
2020.06.16 07:32:17  37.1735   28.7648        3.4      -.-  1.8  -.-   KARACAOREN-(MUGLA)                                İlksel
2020.06.16 07:21:06  37.4358   35.9915        4.3      -.-  1.5  -.-   KUCUKCINAR-SUMBAS (OSMANIYE)                      İlksel
2020.06.16 07:12:52  39.3368   40.7055        5.0      -.-  1.9  -.-   DINARBEY-YEDISU (BINGOL)                          İlksel
2020.06.16 07:10:18  39.3510   40.6938        5.0      -.-  2.7  -.-   DINARBEY-YEDISU (BINGOL)                          İlksel
2020.06.16 06:28:48  33.8680   25.9337        7.9      -.-  3.2  3.3   GIRIT ADASI ACIKLARI (AKDENIZ)                    İlksel
2020.06.16 06:17:53  36.6040   36.4838        5.0      -.-  2.6  -.-   AYGIRGOLU-KIRIKHAN (HATAY)                        İlksel
2020.06.16 06:05:52  39.3818   40.6557       14.7      -.-  2.0  -.-   ELMALI-YEDISU (BINGOL)                            İlksel
2020.06.16 05:44:22  37.4043   35.9527        4.5      -.-  1.3  -.-   CAYGECIT-KADIRLI (OSMANIYE)                       İlksel
2020.06.16 05:21:57  36.9968   28.5180       11.1      -.-  2.4  -.-   CORUS-ULA (MUGLA)                                 İlksel
2020.06.16 04:34:48  39.1973   40.6903        4.9      -.-  1.6  -.-   KAYNAKDUZU-ADAKLI (BINGOL)                        İlksel
2020.06.16 04:34:13  39.3718   40.6443       13.4      -.-  1.9  -.-   ELMALI-YEDISU (BINGOL)                            İlksel
2020.06.16 04:12:29  39.3772   40.7355        7.1      -.-  1.6  -.-   KAYNARPINAR-KARLIOVA (BINGOL)                     İlksel
2020.06.16 03:57:07  38.2655   38.7838        8.5      -.-  1.8  -.-   KARSIYAKA-PUTURGE (MALATYA)                       İlksel
2020.06.16 02:59:33  39.3660   40.7467        5.0      -.-  2.2  -.-   KAYNARPINAR-KARLIOVA (BINGOL)                     İlksel
2020.06.16 02:51:41  39.3743   40.6987        6.0      -.-  1.7  -.-   DINARBEY-YEDISU (BINGOL)                          İlksel
2020.06.16 02:41:27  39.6262   27.6185        7.1      -.-  1.2  -.-   GOKCEYAZI-IVRINDI (BALIKESIR)                     İlksel
2020.06.16 02:33:29  39.3575   40.7750        4.4      -.-  1.7  -.-   KAYNARPINAR-KARLIOVA (BINGOL)                     İlksel
2020.06.16 02:11:58  39.3493   40.7240        7.1      -.-  1.6  -.-   KAYNARPINAR-KARLIOVA (BINGOL)                     İlksel
2020.06.16 01:58:59  38.3668   39.1928        5.0      -.-  1.1  -.-   DOGANSU-SIVRICE (ELAZIG)                          İlksel
2020.06.16 01:57:18  38.4410   39.2988        5.0      -.-  1.7  -.-   SIVRICE (ELAZIG)                                  İlksel
2020.06.16 01:28:21  38.4167   26.7015       10.8      -.-  1.6  -.-   IZMIR KORFEZI (EGE DENIZI)                        İlksel
2020.06.16 00:56:12  39.3392   40.7065        5.0      -.-  1.9  -.-   DINARBEY-YEDISU (BINGOL)                          İlksel
2020.06.16 00:48:25  38.0737   37.9517        5.0      -.-  2.3  -.-   GUROBASI-DOGANSEHIR (MALATYA)                     İlksel
2020.06.16 00:35:09  38.4565   39.1093       11.5      -.-  1.4  -.-   DEREBOYNU-SIVRICE (ELAZIG)                        İlksel
2020.06.16 00:24:24  36.8262   23.9112       18.6      -.-  3.0  -.-   YUNANISTAN                                        İlksel
2020.06.16 00:23:07  38.5513   36.3803        5.0      -.-  3.0  -.-   BUYUKKABAKTEPE-PINARBASI (KAYSERI)                İlksel
2020.06.16 00:10:39  39.3650   40.7295        5.5      -.-  3.4  3.3   KAYNARPINAR-KARLIOVA (BINGOL)                     İlksel
2020.06.15 23:44:18  39.3610   40.6912        6.1      -.-  1.6  -.-   DINARBEY-YEDISU (BINGOL)                          İlksel
2020.06.15 23:15:54  39.3677   40.6588       15.4      -.-  2.1  -.-   DINARBEY-YEDISU (BINGOL)                          İlksel
2020.06.15 23:12:56  34.2893   25.9120        5.0      -.-  4.2  4.5   GIRIT ADASI ACIKLARI (AKDENIZ)                    İlksel
2020.06.15 23:08:23  39.3555   40.6758        7.3      -.-  1.9  -.-   DINARBEY-YEDISU (BINGOL)                          İlksel
2020.06.15 22:46:19  36.9995   28.5272       12.2      -.-  1.2  -.-   CORUS-ULA (MUGLA)                                 İlksel
2020.06.15 22:33:17  39.3545   40.6528        7.8      -.-  1.9  -.-   DINARBEY-YEDISU (BINGOL)                          İlksel
2020.06.15 22:05:57  39.3765   40.6113       15.4      -.-  2.0  -.-   ELMALI-YEDISU (BINGOL)                            İlksel
2020.06.15 22:03:43  38.3957   39.0993        5.3      -.-  0.9  -.-   KALABA-SIVRICE (ELAZIG)                           İlksel
2020.06.15 22:00:15  39.3948   40.7037       16.9      -.-  1.9  -.-   DINARBEY-YEDISU (BINGOL)                          İlksel
2020.06.15 21:48:25  39.3825   40.6325       18.5      -.-  1.6  -.-   ELMALI-YEDISU (BINGOL)                            İlksel
2020.06.15 21:22:39  39.3383   40.6633        5.0      -.-  2.4  -.-   DINARBEY-YEDISU (BINGOL)                          İlksel
2020.06.15 21:06:47  38.9665   26.4235        5.0      -.-  1.8  -.-   MIDILLI ADASI (EGE DENIZI)                        İlksel
2020.06.15 21:04:03  38.9185   26.4582        5.0      -.-  2.0  -.-   EGE DENIZI                                        İlksel
2020.06.15 20:21:34  39.3653   40.7137        4.1      -.-  2.3  -.-   DINARBEY-YEDISU (BINGOL)                          İlksel
2020.06.15 20:02:36  39.3653   40.6925        5.0      -.-  2.8  -.-   DINARBEY-YEDISU (BINGOL)                          İlksel
2020.06.15 19:52:35  39.3740   40.6817        5.0      -.-  3.7  3.9   DINARBEY-YEDISU (BINGOL)                          İlksel
2020.06.15 19:51:13  38.4268   26.6955       16.1      -.-  1.7  -.-   IZMIR KORFEZI (EGE DENIZI)                        İlksel
